filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
ai_portrait_00021.jpg	291	103	66.353	145	49.1307	16	41.563
ai_portrait_00022.jpg	292	165	64.2953	88	44.1728	16	46.7477
ai_portrait_00023.jpg	293	186	66.1457	52	35.3442	12	57.5623
ai_portrait_00024.jpg	294	26	56.6119	85	77.4441	11	36.3349
ai_portrait_00025.jpg	295	212	52.3369	20	42.9458	28	67.8912
ai_portrait_00026.jpg	296	140	59.6266	24	15.1939	14	58.7792
ai_portrait_00027.jpg	297	217	31.864	68	33.2917	13	70.4559
ai_portrait_00028.jpg	298	156	42.5676	120	55.3106	18	18.6831
ai_portrait_00029.jpg	299	111	44.2097	104	30.9496	13	52.7307
ai_portrait_00030.jpg	300	254	79.8456	0	34.4533	0	64.937
ai_portrait_00031.jpg	301	180	43.7192	32	23.0928	144	67.9991
ai_portrait_00032.jpg	302	107	51.3765	15	34.4384	34	53.9787
ai_portrait_00033.jpg	303	243	47.6008	15	26.7642	13	64.9429
ai_portrait_00034.jpg	304	239	19.0854	33	30.1434	13	41.1599
ai_portrait_00035.jpg	305	189	33.2508	62	37.3801	16	56.1094
ai_portrait_00036.jpg	306	74	62.7747	91	43.7839	14	58.5288
ai_portrait_00037.jpg	307	67	35.3527	123	45.1317	16	15.1269
ai_portrait_00038.jpg	308	72	52.0026	72	36.9292	11	96.7136
ai_portrait_00039.jpg	309	154	47.6506	65	29.2352	30	27.0217
ai_portrait_00040.jpg	310	87	63.8868	72	36.3974	13	43.253
ai_portrait_00041.jpg	311	151	51.6001	51	18.8043	16	28.9005
ai_portrait_00042.jpg	312	67	85.4884	99	73.9874	15	24.4053
ai_portrait_00043.jpg	313	237	87.5787	2	32.3725	7	78.9955
ai_portrait_00044.jpg	314	180	54.978	39	39.0853	14	46.788
ai_portrait_00045.jpg	315	205	50.8261	73	43.085	14	52.4377
ai_portrait_00046.jpg	316	104	48.6796	70	44.7255	18	33.6625
ai_portrait_00047.jpg	317	63	48.9691	48	32.5436	12	59.0485
ai_portrait_00048.jpg	318	219	42.4604	65	38.9321	16	69.7256
ai_portrait_00049.jpg	319	109	58.3846	112	49.3623	16	38.7906
ai_portrait_00050.jpg	320	150	45.4899	67	69.4691	134	52.158
ai_portrait_00051.jpg	321	70	52.2168	28	26.5127	28	64.3714
ai_portrait_00052.jpg	322	190	69.0651	21	35.3474	14	42.2769
ai_portrait_00053.jpg	323	172	40.1046	92	40.5393	14	9.4267
ai_portrait_00054.jpg	324	205	83.2711	34	32.4963	14	45.964
ai_portrait_00055.jpg	325	35	52.205	75	31.2283	145	65.1848
ai_portrait_00056.jpg	326	132	48.7936	98	30.3209	17	9.4181
ai_portrait_00057.jpg	327	225	66.824	12	51.1389	14	53.572
ai_portrait_00058.jpg	328	195	51.7048	38	28.9281	11	58.4337
ai_portrait_00059.jpg	329	136	60.6901	27	19.845	42	58.892
ai_portrait_00060.jpg	330	78	59.3356	71	42.0199	21	28.5283
