"image_id","brightness_median","brightness_stdev","saturation_median","saturation_stdev","hue_median","hue_stdev","group","category"
21,243,39.86,3,25.19,145,61.9,"AI","Soyut"
22,223,35.36,44,36.52,21,6.34,"AI","Soyut"
23,225,68.17,21,52.35,145,5.77,"AI","Soyut"
24,215,24.63,94,38.66,18,17.52,"AI","Soyut"
25,119,56,135,65.08,14,94.46,"AI","Soyut"
26,136,59.53,105,36.84,27,16.2,"AI","Soyut"
27,205,58.73,9,36.61,31,45.46,"AI","Soyut"
28,141,37.55,28,14.3,21,72.23,"AI","Soyut"
29,161,65.05,47,45.52,40,63.15,"AI","Soyut"
30,183,32.79,98,52.44,137,64.04,"AI","Soyut"
31,77,44.27,83,47.95,123,74.29,"AI","Soyut"
32,199,42.44,183,58.41,23,10.29,"AI","Soyut"
33,86,48.31,54,52.97,24,75.92,"AI","Soyut"
34,56,51.86,102,42.4,70,50.82,"AI","Soyut"
35,198,48.5,87,55.9,27,96.09,"AI","Soyut"
36,185,34.35,168,55.5,151,3.5,"AI","Soyut"
37,249,34.25,104,46.89,27,7.43,"AI","Soyut"
38,187,18.32,8,10.38,34,16.94,"AI","Soyut"
39,140,43.04,66,26.63,23,43.52,"AI","Soyut"
40,248,52.72,10,50.82,31,19.23,"AI","Soyut"
41,219,25.39,18,41.19,215,66.79,"AI","Soyut"
42,240,14.85,64,28.47,26,107.99,"AI","Soyut"
43,131,38.63,89,54.8,20,62.93,"AI","Soyut"
44,78,50.96,44,36.92,40,48.39,"AI","Soyut"
45,118,42.53,41,49.54,21,54.6,"AI","Soyut"
46,235,18.67,84,66.32,24,67.28,"AI","Soyut"
47,186,48.12,99,68.46,190,74.23,"AI","Soyut"
48,119,56.6,185,48.01,16,69.35,"AI","Soyut"
49,112,50.42,126,45.31,22,29.99,"AI","Soyut"
50,168,57.98,58,68.41,34,63.6,"AI","Soyut"
51,207,33.07,157,84.14,141,9.16,"AI","Soyut"
52,171,62.29,59,48.72,150,85.98,"AI","Soyut"
53,156,33.01,93,65.61,139,63.93,"AI","Soyut"
54,112,31.84,26,25.22,31,15.84,"AI","Soyut"
55,103,84.19,169,84.02,14,40.7,"AI","Soyut"
56,253,12.71,27,31.41,34,100.44,"AI","Soyut"
57,219,24.35,13,12.47,23,42.22,"AI","Soyut"
58,129,70.6,23,19.51,85,43.98,"AI","Soyut"
59,103,56.22,150,53.95,139,85.37,"AI","Soyut"
60,61,51.81,21,54.69,144,73.31,"AI","Soyut"
61,238,42.22,7,57.04,31,78.64,"AI","Soyut"
62,22,58.64,170,84.01,189,107.34,"AI","Soyut"
63,216,32.64,48,51.87,151,25.62,"AI","Soyut"
64,203,64.74,34,55.73,148,56.29,"AI","Soyut"
65,220,16.13,8,13.18,113,60.23,"AI","Soyut"
66,230,43.72,5,27.59,198,41.11,"AI","Soyut"
67,197,50.89,33,25.17,158,19.45,"AI","Soyut"
68,160,34,36,20.55,184,26.69,"AI","Soyut"
69,91,29.52,72,45.74,158,52.81,"AI","Soyut"
70,60,42.07,127,40.83,221,95.05,"AI","Soyut"
71,236,19.01,17,17.59,17,104.64,"AI","Soyut"
72,189,35.32,205,24.03,24,8.63,"AI","Soyut"
73,179,49.24,46,20.88,26,112.9,"AI","Soyut"
74,193,71.64,35,48.25,14,89.82,"AI","Soyut"
75,223,55.67,27,16.59,246,32.38,"AI","Soyut"
76,183,38.82,138,29.32,8,106.24,"AI","Soyut"
77,142,52.29,192,28.81,13,4.79,"AI","Soyut"
78,115,57.71,134,43,26,25.71,"AI","Soyut"
79,154,26.44,45,21.21,13,94.02,"AI","Soyut"
80,229,36.58,17,26.52,30,5.96,"AI","Soyut"
81,179,23.47,8,7.31,145,67.62,"AI","Soyut"
82,242,41.65,10,18.6,157,18.41,"AI","Soyut"
83,140,43.28,49,27.89,176,43.68,"AI","Soyut"
84,185,34.84,136,72.84,24,73.1,"AI","Soyut"
85,47,26.03,20,27.21,154,68.86,"AI","Soyut"
86,169,60.77,101,56.26,158,87.58,"AI","Soyut"
87,216,41.57,34,50.32,30,42.8,"AI","Soyut"
88,62,48.56,85,49.16,18,80.8,"AI","Soyut"
89,227,30.9,71,46.49,22,53.34,"AI","Soyut"
90,105,46.64,83,59.63,24,46.77,"AI","Soyut"
1,78,56.46,72,44.91,26,75.02,"Human","Soyut"
2,26,45.88,85,50.58,15,5.58,"Human","Soyut"
3,41,91.51,212,62.82,235,109.49,"Human","Soyut"
4,85,80.02,221,44.55,174,85.88,"Human","Soyut"
5,152,74.14,89,79.3,72,53.08,"Human","Soyut"
6,156,49.61,19,28.94,113,47.59,"Human","Soyut"
7,153,27.82,255,26.62,36,3.46,"Human","Soyut"
8,171,27.97,243,28.67,53,58.04,"Human","Soyut"
9,166,45.24,200,46.59,119,59.94,"Human","Soyut"
10,83,52.47,107,41.67,33,78.57,"Human","Soyut"
11,55,25.57,100,33.51,16,98.9,"Human","Soyut"
12,53,63.52,114,64.07,85,19.38,"Human","Soyut"
13,71,33.46,71,51.18,60,64.53,"Human","Soyut"
14,250,19.26,2,15.29,35,51.49,"Human","Soyut"
15,213,25.1,32,62.46,122,43.45,"Human","Soyut"
